"TaskName","TaskPath","State","RunAs","Author","Actions"
"PerformRemediation","\Microsoft\Windows\WaaSMedic\",,"SYSTEM",," "
"WiFiTask","\Microsoft\Windows\WCM\",,,,"%SystemRoot%\System32\WiFiTask.exe "
"ResolutionHost","\Microsoft\Windows\WDI\",,,," "
"Windows Defender Cache Maintenance","\Microsoft\Windows\Windows Defender\",,"SYSTEM",,"C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26010.5-0\MpCmdRun.exe -IdleTask -TaskName WdCacheMaintenance"
"Windows Defender Cleanup","\Microsoft\Windows\Windows Defender\",,"SYSTEM",,"C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26010.5-0\MpCmdRun.exe -IdleTask -TaskName WdCleanup"
"Windows Defender Scheduled Scan","\Microsoft\Windows\Windows Defender\",,"SYSTEM",,"C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26010.5-0\MpCmdRun.exe Scan -ScheduleJob -ScanTrigger 55 -IdleScheduledJob"
"Windows Defender Verification","\Microsoft\Windows\Windows Defender\",,"SYSTEM",,"C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26010.5-0\MpCmdRun.exe -IdleTask -TaskName WdVerification"
"QueueReporting","\Microsoft\Windows\Windows Error Reporting\",,"SYSTEM",,"%windir%\system32\wermgr.exe -upload"
"BfeOnServiceStartTypeChange","\Microsoft\Windows\Windows Filtering Platform\",,"SYSTEM",,"%windir%\system32\rundll32.exe bfe.dll,BfeOnServiceStartTypeChange"
"UpdateLibrary","\Microsoft\Windows\Windows Media Sharing\",,,,"""%ProgramFiles%\Windows Media Player\wmpnscfg.exe"" "
"InitialConfiguration","\Microsoft\Windows\WindowsAI\Recall\",,"SYSTEM",," "
"PolicyConfiguration","\Microsoft\Windows\WindowsAI\Recall\",,"SYSTEM",," "
"InitialConfiguration","\Microsoft\Windows\WindowsAI\Settings\",,"SYSTEM",," "
"Calibration Loader","\Microsoft\Windows\WindowsColorSystem\",,,," "
"Refresh Group Policy Cache","\Microsoft\Windows\WindowsUpdate\",,"SYSTEM",," "
"Scheduled Start","\Microsoft\Windows\WindowsUpdate\",,"SYSTEM",,"%systemroot%\System32\sc.exe start wuauserv"
"CacheTask","\Microsoft\Windows\Wininet\",,,," "
"CDSSync","\Microsoft\Windows\WlanSvc\",,,," "
"MoProfileManagement","\Microsoft\Windows\WlanSvc\",,"SYSTEM",," "
"WIM-Hash-Management","\Microsoft\Windows\WOF\",,"SYSTEM",," "
"WIM-Hash-Validation","\Microsoft\Windows\WOF\",,"SYSTEM",," "
"Work Folders Logon Synchronization","\Microsoft\Windows\Work Folders\",,,," "
"Work Folders Maintenance Work","\Microsoft\Windows\Work Folders\",,,," "
"Automatic-Device-Join","\Microsoft\Windows\Workplace Join\",,"SYSTEM",,"%SystemRoot%\System32\dsregcmd.exe $(Arg0) $(Arg1) $(Arg2)"
"Device-Sync","\Microsoft\Windows\Workplace Join\",,"SYSTEM",," "
"Recovery-Check","\Microsoft\Windows\Workplace Join\",,,,"%SystemRoot%\System32\dsregcmd.exe /checkrecovery"
"NotificationTask","\Microsoft\Windows\WwanSvc\",,,,"%SystemRoot%\System32\WiFiTask.exe wwan"
"OobeDiscovery","\Microsoft\Windows\WwanSvc\",,"SYSTEM",," "
"XblGameSaveTask","\Microsoft\XblGameSave\",,"SYSTEM",,"%windir%\System32\XblGameSaveTask.exe standby"
"Autorun for lucas","\PowerToys\",,"lucas",,"C:\Users\lucas\AppData\Local\PowerToys\PowerToys.exe "
