"Name","DisplayName","State","StartMode","StartName","PathName"
"SysMain","SysMain","Running","Auto","LocalSystem","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Sysmon","Sysmon","Running","Auto","LocalSystem","C:\Windows\Sysmon.exe"
"SystemEventsBroker","System Events Broker","Running","Auto","LocalSystem","C:\Windows\system32\svchost.exe -k DcomLaunch -p"
"TapiSrv","Telephony","Running","Manual","NT AUTHORITY\NetworkService","C:\Windows\System32\svchost.exe -k NetworkService -p"
"TermService","Remote Desktop Services","Running","Auto","NT Authority\NetworkService","C:\Windows\System32\svchost.exe -k NetworkService"
"TextInputManagementService","Text Input Management Service","Running","Auto","LocalSystem","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Themes","Themes","Running","Auto","LocalSystem","C:\Windows\System32\svchost.exe -k netsvcs -p"
"TieringEngineService","Storage Tiers Management","Stopped","Manual","localSystem","C:\Windows\system32\TieringEngineService.exe"
"TimeBrokerSvc","Time Broker","Running","Manual","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"TokenBroker","Web Account Manager","Running","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs -p"
"TrkWks","Distributed Link Tracking Client","Running","Auto","LocalSystem","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"TroubleshootingSvc","Recommended Troubleshooting Service","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs -p"
"TrustedInstaller","Windows Modules Installer","Stopped","Manual","localSystem","C:\Windows\servicing\TrustedInstaller.exe"
"tzautoupdate","Auto Time Zone Updater","Stopped","Disabled","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalService -p"
"UdkUserSvc_1f4c24","Udk User Service_1f4c24","Running","Manual",,"C:\Windows\system32\svchost.exe -k UdkSvcGroup"
"UmRdpService","Remote Desktop Services UserMode Port Redirector","Stopped","Manual","localSystem","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"UnistoreSvc_1f4c24","User Data Storage_1f4c24","Stopped","Manual",,"C:\Windows\System32\svchost.exe -k UnistackSvcGroup"
"upnphost","UPnP Device Host","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation -p"
"UserDataSvc_1f4c24","User Data Access_1f4c24","Stopped","Manual",,"C:\Windows\system32\svchost.exe -k UnistackSvcGroup"
"UserManager","User Manager","Running","Auto","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs -p"
"UsoSvc","Update Orchestrator Service","Running","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs -p"
"VaultSvc","Credential Manager","Running","Auto","LocalSystem","C:\Windows\system32\lsass.exe"
"vds","Virtual Disk","Stopped","Manual","LocalSystem","C:\Windows\System32\vds.exe"
"vmcompute","Hyper-V Host Compute Service","Running","Manual","LocalSystem","C:\Windows\system32\vmcompute.exe"
"vmicguestinterface","Hyper-V Guest Service Interface","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"vmicheartbeat","Hyper-V Heartbeat Service","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k ICService -p"
"vmickvpexchange","Hyper-V Data Exchange Service","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"vmicrdv","Hyper-V Remote Desktop Virtualization Service","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k ICService -p"
"vmicshutdown","Hyper-V Guest Shutdown Service","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"vmictimesync","Hyper-V Time Synchronization Service","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"vmicvmsession","Hyper-V PowerShell Direct Service","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"vmicvss","Hyper-V Volume Shadow Copy Requestor","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"VSS","Volume Shadow Copy","Stopped","Manual","LocalSystem","C:\Windows\system32\vssvc.exe"
"W32Time","Windows Time","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalService"
"WaaSMedicSvc","WaaSMedicSvc","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k wusvcs -p"
"WalletService","WalletService","Stopped","Manual","LocalSystem","C:\Windows\System32\svchost.exe -k appmodel -p"
"WarpJITSvc","Warp JIT Service","Stopped","Manual","NT Authority\LocalService","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted"
"wbengine","Block Level Backup Engine Service","Stopped","Manual","localSystem","""C:\Windows\system32\wbengine.exe"""
"WbioSrvc","Windows Biometric Service","Stopped","Auto","LocalSystem","C:\Windows\system32\svchost.exe -k WbioSvcGroup"
"Wcmsvc","Windows Connection Manager","Running","Auto","NT Authority\LocalService","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p -s Wcmsvc"
"wcncsvc","Windows Connect Now - Config Registrar","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\System32\svchost.exe -k LocalServiceAndNoImpersonation -p"
"WdiServiceHost","Diagnostic Service Host","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\System32\svchost.exe -k LocalService -p"
"WdiSystemHost","Diagnostic System Host","Running","Manual","LocalSystem","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"WdNisSvc","Microsoft Defender Antivirus Network Inspection Service","Running","Manual","NT AUTHORITY\LocalService","""C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26010.5-0\NisSrv.exe"""
"WebClient","WebClient","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalService -p"
"webthreatdefsvc","Web Threat Defense Service","Running","Manual","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k WebThreatDefense -p"
"webthreatdefusersvc_1f4c24","Web Threat Defense User Service_1f4c24","Running","Auto",,"C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Wecsvc","Windows Event Collector","Stopped","Manual","NT AUTHORITY\NetworkService","C:\Windows\system32\svchost.exe -k NetworkService -p"
"WEPHOSTSVC","Windows Encryption Provider Host Service","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k WepHostSvcGroup"
"wercplsupport","Problem Reports Control Panel Support","Stopped","Manual","localSystem","C:\Windows\System32\svchost.exe -k netsvcs -p"
"WerSvc","Windows Error Reporting Service","Stopped","Manual","localSystem","C:\Windows\System32\svchost.exe -k WerSvcGroup"
"WFDSConMgrSvc","Wi-Fi Direct Services Connection Manager Service","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"whesvc","Windows Health and Optimized Experiences","Running","Auto","LocalSystem","C:\Windows\system32\svchost.exe -k whesvc -p"
"WiaRpc","Still Image Acquisition Events","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"WinDefend","Microsoft Defender Antivirus Service","Running","Auto","LocalSystem","""C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26010.5-0\MsMpEng.exe"""
"WinHttpAutoProxySvc","WinHTTP Web Proxy Auto-Discovery Service","Running","Manual","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalServiceHttp -p"
"Winmgmt","Windows Management Instrumentation","Running","Auto","localSystem","C:\Windows\system32\svchost.exe -k netsvcs -p"
"WinRM","Windows Remote Management (WS-Management)","Stopped","Manual","NT AUTHORITY\NetworkService","C:\Windows\System32\svchost.exe -k NetworkService -p"
"wisvc","Windows Insider Service","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs -p"
"WlanSvc","WLAN AutoConfig","Running","Auto","LocalSystem","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"wlidsvc","Microsoft Account Sign-in Assistant","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs -p"
"wlpasvc","Local Profile Assistant Service","Stopped","Manual","NT Authority\LocalService","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"WManSvc","Windows Management Service","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs -p"
"wmiApSrv","WMI Performance Adapter","Stopped","Manual","localSystem","C:\Windows\system32\wbem\WmiApSrv.exe"
"WMPNetworkSvc","Windows Media Player Network Sharing Service","Stopped","Manual","NT AUTHORITY\NetworkService","""C:\Program Files\Windows Media Player\wmpnetwk.exe"""
"workfolderssvc","Work Folders","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\System32\svchost.exe -k LocalService -p"
"WpcMonSvc","Parental Controls","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k LocalService"
"WPDBusEnum","Portable Device Enumerator Service","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted"
"WpnService","Windows Push Notifications System Service","Running","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs -p"
"WpnUserService_1f4c24","Windows Push Notifications User Service_1f4c24","Running","Auto",,"C:\Windows\system32\svchost.exe -k UnistackSvcGroup"
"WSAIFabricSvc","WSAIFabricSvc","Running","Auto","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k WSAIFabricSvcGroup -p"
"wscsvc","Security Center","Running","Auto","NT AUTHORITY\LocalService","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p"
"WSearch","Windows Search","Running","Auto","LocalSystem","C:\Windows\system32\SearchIndexer.exe /Embedding"
"WSLService","WSL Service","Running","Auto","LocalSystem","""C:\Program Files\WSL\wslservice.exe"""
"wuauserv","Windows Update","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs -p"
"wuqisvc","Microsoft Usage and Quality Insights","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation -p"
"WwanSvc","WWAN AutoConfig","Stopped","Manual","localSystem","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"XblAuthManager","Xbox Live Auth Manager","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs -p"
"XblGameSave","Xbox Live Game Save","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs -p"
"XboxGipSvc","Xbox Accessory Management Service","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs -p"
"XboxNetApiSvc","Xbox Live Networking Service","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs -p"
